row_idx,sentence,gold_tags,pred_tags
42,रारा ताल मुगु जिल्ला मा भयाको नेपाल को सबभन्दा ठूलो ताल हो ।,"['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'PROPN', 'ADP', 'ADV', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'PROPN', 'ADP', 'ADV', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
43,भक्तपुर दरबार स्क्वायर युनेस्को को विश्व सम्पदा सूचीमा सूचीकृत छ ।,"['PROPN', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
44,चितवन राष्ट्रिय निकुञ्ज नेपाल को पहिलो राष्ट्रिय निकुञ्ज हो ।,"['PROPN', 'ADJ', 'NOUN', 'PROPN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['PROPN', 'ADJ', 'NOUN', 'PROPN', 'ADP', 'ADJ', 'PROPN', 'NOUN', 'AUX', 'PUNCT']"
45,पाटन दरबार स्क्वायर ललितपुर जिल्ला मा छ ।,"['PROPN', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'AUX', 'PUNCT']","['NOUN', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'AUX', 'PUNCT']"
46,कर्नाली घाट नेपाल को सबभन्दा लामो घाट हो ।,"['PROPN', 'NOUN', 'PROPN', 'ADP', 'ADV', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'PROPN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
47,इलाम आफ्नु हर्यो चिया बगान का लागि जान्याको छ ।,"['PROPN', 'PRON', 'VERB', 'NOUN', 'NOUN', 'ADP', 'ADP', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'PRON', 'VERB', 'NOUN', 'NOUN', 'ADP', 'ADP', 'VERB', 'AUX', 'PUNCT']"
48,मुक्तिनाथ मन्दिर मुस्ताङ जिल्ला मा भयाको एक पवित्र तीर्थ हो ।,"['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'NUM', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'NUM', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
49,खप्तड राष्ट्रिय निकुञ्ज सुदूरपश्चिम प्रदेश मा पड्दो छ ।,"['PROPN', 'ADJ', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'AUX', 'PUNCT']","['NOUN', 'ADJ', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'AUX', 'PUNCT']"
50,तिलौराकोट कपिलवस्तु जिल्ला मा भयाको ऐतिहासिक ठौर हो ।,"['PROPN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['PROPN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
51,स्वयम्भूनाथ स्तूप काठमाडौं उपत्यका को मूख्य धार्मिक ठौर हो ।,"['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
52,हिमालय पर्वत शृंखला एशिया को उत्तर तिर फैल्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'ADP', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'ADP', 'VERB', 'AUX', 'PUNCT']"
53,कोशी टप्पु वन्यजन्तु आरक्ष सुनसरी जिल्ला मा छ ।,"['PROPN', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'AUX', 'PUNCT']","['NOUN', 'NOUN', 'NOUN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'AUX', 'PUNCT']"
54,मनकामना थान गोरखा जिल्ला मा भयाको प्रसिद्ध धार्मिक ठौर हो ।,"['PROPN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['NOUN', 'NOUN', 'PROPN', 'NOUN', 'ADP', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']"
55,दार्चुला जिल्ला बाट महाकाली घाट बग्दो छ ।,"['PROPN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
56,तिहार नेपाल भरि मनाउन्या महत्वपूर्ण सांस्कृतिक त्यार हो ।,"['PROPN', 'PROPN', 'ADV', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'AUX', 'PUNCT']","['NOUN', 'PROPN', 'ADV', 'VERB', 'ADJ', 'NOUN', 'AUX', 'AUX', 'PUNCT']"
57,जनकपुरधाम मा आयोजित रामजानकी महोत्सव मा हजारौँ भक्तजन आउन्या भयाका छन् ।,"['PROPN', 'ADP', 'VERB', 'PROPN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'VERB', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'ADP', 'VERB', 'PROPN', 'NOUN', 'ADP', 'NUM', 'NOUN', 'VERB', 'AUX', 'VERB', 'PUNCT']"
58,नेपाल विद्युत प्राधिकरण ले धरान मा नौलो सबस्टेशन सञ्चालन मा ल्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADP', 'VERB', 'AUX', 'PUNCT']"
59,विराटनगर महानगरपालिका ले कोशी प्रदेशसित सहकार्य गर्न्या घोषणा गर्याको छ ।,"['PROPN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NOUN', 'VERB', 'NOUN', 'AUX', 'AUX', 'PUNCT']"
60,लुम्बिनी बौद्ध विश्वविद्यालय ले रूपन्देही मा अनुसन्धान केन्द्र स्थापना गर्याको छ ।,"['PROPN', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
61,नेपाल क्रिकेट संघ ले टियु मैदान मा प्रशिक्षण शिविर सुरु गर्याको छ ।,"['PROPN', 'PROPN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
62,चितवन राष्ट्रिय निकुञ्ज मा बाघ गन्या काम सक्यको छ ।,"['PROPN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'VERB', 'NOUN', 'AUX', 'AUX', 'PUNCT']"
63,राष्ट्रिय परीक्षा बोर्ड ले भक्तपुर मा नतिजा सार्वजनिक गर्याको छ ।,"['ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'AUX', 'PUNCT']","['ADJ', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'ADJ', 'VERB', 'AUX', 'PUNCT']"
64,नेपाल वायुसेवा निगम ले दुबई का लागि नौलो उडान सुरु गर्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADP', 'ADJ', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
65,काठमाडौँ उपत्यका खानेपानी लिमिटेड ले ललितपुर मा सेवा विस्तार गर्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
66,सुदूरपश्चिम प्रदेश सरकार ले धनगढी मा आपतकालीन बैठक बोलायाको छ ।,"['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
67,नेपाल उद्योग वाणिज्य महासंघ ले पोखरा मा आर्थिक सम्मेलन आयोजना गर्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
68,प्रधानमन्त्री पुष्पकमल दाहाल ले गोरखा मा विकास परियोजना को उद्घाटन गर्याको छ ।,"['NOUN', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'PROPN', 'PROPN', 'AUX', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN', 'AUX', 'AUX', 'PUNCT']"
69,नेपाली सेनाले सुर्खेत मा राहत सामग्री वितरण गर्याको छ ।,"['ADJ', 'NOUN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['NOUN', 'PROPN', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
70,विश्व स्वास्थ्य संगठन ले नेपाल लाई स्वास्थ्य सामग्री सहयोग गर्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['NOUN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
71,कर्णाली प्रदेश सरकार ले जुम्ला मा कृषि कार्यक्रम सुरु गर्याको छ ।,"['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
72,नेपाल टेलिकम ले भक्तपुर मा फाइबर सेवा विस्तार गर्याको छ ।,"['PROPN', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['PROPN', 'PROPN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']"
73,राष्ट्रिय स्वतन्त्र पार्टी ले चितवन मा आमसभा आयोजना गर्याको छ ।,"['ADJ', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'AUX', 'PUNCT']","['ADJ', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'ADP', 'NOUN', 'VERB', 'AUX', 'AUX', 'PUNCT']"
